,source,target,rating,time
0,430,1,10,1376539200
1,3134,1,10,1369713600
2,3026,1,10,1350014400
3,3010,1,10,1347854400
4,804,1,10,1337572800
5,160,1,10,1394683200
6,95,1,9,1384578000
7,377,1,7,1414728000
8,888,1,7,1365652800
9,89,1,7,1351742400
10,1901,1,6,1411790400
11,161,1,6,1413345600
12,256,1,6,1342584000
13,351,1,5,1416373200
14,3329,1,5,1389934800
15,3341,1,5,1388984400
16,649,1,5,1384491600
17,1583,1,5,1380945600
18,87,1,5,1381809600
19,37,1,5,1374033600
20,309,1,5,1378353600
21,821,1,5,1368676800
22,1496,1,5,1394168400
23,637,1,5,1364961600
24,964,1,5,1350100800
25,594,1,5,1370836800
26,2249,1,5,1360386000
27,554,1,5,1346126400
28,20,1,5,1343275200
29,2227,1,5,1353301200
30,1315,1,5,1334635200
31,519,1,5,1344571200
32,1316,1,5,1332216000
33,2149,1,5,1326949200
34,1724,1,5,1322802000
35,18,1,5,1315022400
36,57,1,5,1314158400
37,118,1,4,1414123200
38,3254,1,4,1373342400
39,1177,1,4,1371009600
40,112,1,4,1355634000
41,11,1,4,1374984000
42,586,1,4,1314763200
43,35,1,4,1330578000
44,15,1,4,1319860800
45,1445,1,4,1309752000
46,152,1,4,1354078800
47,2,1,4,1411963200
48,113,1,4,1311307200
49,44,1,3,1415854800
50,2401,1,3,1390626000
51,10,1,3,1375243200
52,2378,1,3,1378612800
53,126,1,3,1374206400
54,3245,1,3,1369972800
55,783,1,3,1368676800
56,493,1,3,1362114000
57,1358,1,3,1372737600
58,1180,1,3,1378267200
59,529,1,3,1361595600
60,333,1,3,1357275600
61,1538,1,3,1358744400
62,2282,1,3,1353819600
63,1519,1,3,1363924800
64,2966,1,3,1342238400
65,474,1,3,1346817600
66,330,1,3,1381377600
67,958,1,3,1363579200
68,17,1,3,1330837200
69,1295,1,3,1329541200
70,38,1,3,1354165200
71,1952,1,3,1305518400
72,223,1,3,1304395200
73,625,1,2,1293426000
74,1392,1,2,1418101200
75,3355,1,2,1414990800
76,1881,1,2,1404964800
77,58,1,2,1412654400
78,96,1,2,1410148800
79,1580,1,2,1392526800
80,196,1,2,1391576400
81,146,1,2,1390885200
82,416,1,2,1391835600
83,1198,1,2,1390453200
84,3319,1,2,1387256400
85,1867,1,2,1396411200
86,896,1,2,1384059600
87,617,1,2,1383886800
88,3300,1,2,1380254400
89,1877,1,2,1378353600
90,462,1,2,1378353600
91,3279,1,2,1375675200
92,454,1,2,1387256400
93,1860,1,2,1371182400
94,121,1,2,1370318400
95,151,1,2,1376366400
96,1570,1,2,1373688000
97,1573,1,2,1408939200
98,1063,1,2,1365912000
99,1353,1,2,1402200000
100,459,1,2,1372910400
101,2334,1,2,1363924800
102,1267,1,2,1363320000
103,1060,1,2,1362114000
104,1061,1,2,1361595600
105,7431,1,2,1362459600
106,1355,1,2,1376884800
107,71,1,2,1355029200
108,3070,1,2,1353992400
109,2113,1,2,1352696400
110,3001,1,2,1352610000
111,396,1,2,1352437200
112,2260,1,2,1350446400
113,142,1,2,1365566400
114,2238,1,2,1344139200
115,123,1,2,1343880000
116,2942,1,2,1347940800
117,1509,1,2,1339992000
118,7410,1,2,1337659200
119,1760,1,2,1335412800
120,2876,1,2,1333080000
121,259,1,2,1397448000
122,1493,1,2,1332820800
123,2845,1,2,1329368400
124,370,1,2,1329109200
125,2844,1,2,1328936400
126,2167,1,2,1327381200
127,156,1,2,1325739600
128,2808,1,2,1323925200
129,255,1,2,1323147600
130,736,1,2,1324357200
131,7603,1,2,1320901200
132,346,1,2,1333857600
133,9,1,2,1329454800
134,75,1,2,1320642000
135,175,1,2,1318910400
136,2754,1,2,1317268800
137,22,1,2,1320728400
138,155,1,2,1311307200
139,1261,1,2,1309320000
140,2552,1,2,1307851200
141,2586,1,2,1307592000
142,710,1,2,1314504000
143,578,1,2,1307332800
144,472,1,2,1306814400
145,2472,1,2,1304395200
146,1606,1,2,1302062400
147,4,1,2,1299646800
148,563,1,2,1312862400
149,744,1,1,1294549200
150,3422,1,1,1420347600
151,250,1,1,1418360400
152,249,1,1,1418101200
153,2427,1,1,1417064400
154,3414,1,1,1416978000
155,1590,1,1,1414728000
156,2305,1,1,1411876800
157,1900,1,1,1411358400
158,3392,1,1,1406520000
159,1065,1,1,1405656000
160,1147,1,1,1402372800
161,1072,1,1,1402200000
162,3375,1,1,1399176000
163,1024,1,1,1396843200
164,709,1,1,1396497600
165,1382,1,1,1392008400
166,3332,1,1,1386219600
167,1885,1,1,1385787600
168,3330,1,1,1385701200
169,1197,1,1,1385182800
170,3316,1,1,1385182800
171,1886,1,1,1384923600
172,154,1,1,1384837200
173,1522,1,1,1379908800
174,2391,1,1,1379131200
175,3298,1,1,1378180800
176,432,1,1,1377921600
177,3292,1,1,1377576000
178,3290,1,1,1377576000
179,7597,1,1,1376020800
180,3274,1,1,1375502400
181,1875,1,1,1375416000
182,291,1,1,1374897600
183,158,1,1,1374811200
184,1579,1,1,1374552000
185,1846,1,1,1372392000
186,1066,1,1,1372392000
187,290,1,1,1369368000
188,3233,1,1,1368936000
189,891,1,1,1368676800
190,247,1,1,1373256000
191,1856,1,1,1367467200
192,3211,1,1,1367553600
193,115,1,1,1367380800
194,1365,1,1,1366948800
195,483,1,1,1366862400
196,3210,1,1,1366430400
197,3189,1,1,1366171200
198,3193,1,1,1366084800
199,2352,1,1,1365912000
200,1847,1,1,1365825600
201,3173,1,1,1365307200
202,1051,1,1,1365048000
203,1843,1,1,1364788800
204,2342,1,1,1364616000
205,7341,1,1,1364529600
206,3139,1,1,1364529600
207,1186,1,1,1364443200
208,3167,1,1,1364443200
209,3149,1,1,1364270400
210,1842,1,1,1364184000
211,3156,1,1,1363579200
212,3141,1,1,1363320000
213,817,1,1,1363233600
214,1840,1,1,1362974400
215,1839,1,1,1362974400
216,2324,1,1,1362718800
217,3143,1,1,1362718800
218,3142,1,1,1362459600
219,174,1,1,1361336400
220,2315,1,1,1360645200
221,1356,1,1,1360213200
222,1835,1,1,1359867600
223,296,1,1,1359781200
224,3118,1,1,1365998400
225,1542,1,1,1359435600
226,3111,1,1,1358398800
227,753,1,1,1358139600
228,3088,1,1,1355893200
229,395,1,1,1355806800
230,3068,1,1,1354856400
231,3042,1,1,1354770000
232,1442,1,1,1354683600
233,1339,1,1,1355720400
234,596,1,1,1354424400
235,2281,1,1,1353992400
236,222,1,1,1353646800
237,194,1,1,1353646800
238,3064,1,1,1353646800
239,1812,1,1,1353560400
240,1796,1,1,1353387600
241,701,1,1,1353214800
242,124,1,1,1352955600
243,3057,1,1,1352782800
244,7427,1,1,1352869200
245,2276,1,1,1352437200
246,2271,1,1,1351656000
247,1525,1,1,1350619200
248,2235,1,1,1350446400
249,3027,1,1,1350360000
250,2090,1,1,1350273600
251,1342,1,1,1350014400
252,331,1,1,1350014400
253,3023,1,1,1349841600
254,2261,1,1,1349841600
255,68,1,1,1349841600
256,116,1,1,1349582400
257,1043,1,1,1349582400
258,3020,1,1,1348977600
259,491,1,1,1348459200
260,179,1,1,1348372800
261,2252,1,1,1349236800
262,214,1,1,1348113600
263,439,1,1,1347940800
264,2147,1,1,1347768000
265,1167,1,1,1347508800
266,697,1,1,1347163200
267,67,1,1,1347163200
268,1793,1,1,1347076800
269,258,1,1,1346731200
270,1340,1,1,1346472000
271,2996,1,1,1346299200
272,1520,1,1,1345780800
273,1336,1,1,1345348800
274,30,1,1,1345348800
275,178,1,1,1348113600
276,747,1,1,1342497600
277,2962,1,1,1341374400
278,2952,1,1,1340337600
279,455,1,1,1339992000
280,260,1,1,1339560000
281,623,1,1,1339387200
282,29,1,1,1338955200
283,1510,1,1,1338523200
284,2927,1,1,1338264000
285,301,1,1,1337140800
286,2907,1,1,1336190400
287,2909,1,1,1335931200
288,1148,1,1,1335412800
289,955,1,1,1335326400
290,1502,1,1,1335067200
291,2853,1,1,1334894400
292,1500,1,1,1334721600
293,2178,1,1,1334721600
294,1320,1,1,1334635200
295,874,1,1,1334635200
296,2177,1,1,1334203200
297,2892,1,1,1334116800
298,636,1,1,1364875200
299,1034,1,1,1334548800
300,1494,1,1,1333512000
301,276,1,1,1333339200
302,1318,1,1,1333080000
303,117,1,1,1332907200
304,1492,1,1,1332302400
305,1302,1,1,1332302400
306,1313,1,1,1332129600
307,1491,1,1,1331956800
308,2870,1,1,1331697600
309,2181,1,1,1331524800
310,1309,1,1,1330664400
